Note,Frequency (Hz),Wavelength (cm),,
C0,16.35,2109.89,C0,16.35 => float C0;
 C#0/Db0 ,17.32,1991.47,Db0 ,17.32 => float Db0 ;
D0,18.35,1879.69,D0,18.35 => float D0;
 D#0/Eb0 ,19.45,1774.2,Eb0 ,19.45 => float Eb0 ;
E0,20.6,1674.62,E0,20.6 => float E0;
F0,21.83,1580.63,F0,21.83 => float F0;
 F#0/Gb0 ,23.12,1491.91,Gb0 ,23.12 => float Gb0 ;
G0,24.5,1408.18,G0,24.5 => float G0;
 G#0/Ab0 ,25.96,1329.14,Ab0 ,25.96 => float Ab0 ;
A0,27.5,1254.55,A0,27.5 => float A0;
 A#0/Bb0 ,29.14,1184.13,Bb0 ,29.14 => float Bb0 ;
B0,30.87,1117.67,B0,30.87 => float B0;
C1,32.7,1054.94,C1,32.7 => float C1;
 C#1/Db1 ,34.65,995.73,Db1 ,34.65 => float Db1 ;
D1,36.71,939.85,D1,36.71 => float D1;
 D#1/Eb1 ,38.89,887.1,Eb1 ,38.89 => float Eb1 ;
E1,41.2,837.31,E1,41.2 => float E1;
F1,43.65,790.31,F1,43.65 => float F1;
 F#1/Gb1 ,46.25,745.96,Gb1 ,46.25 => float Gb1 ;
G1,49,704.09,G1,49 => float G1;
 G#1/Ab1 ,51.91,664.57,Ab1 ,51.91 => float Ab1 ;
A1,55,627.27,A1,55 => float A1;
 A#1/Bb1 ,58.27,592.07,Bb1 ,58.27 => float Bb1 ;
B1,61.74,558.84,B1,61.74 => float B1;
C2,65.41,527.47,C2,65.41 => float C2;
 C#2/Db2 ,69.3,497.87,Db2 ,69.3 => float Db2 ;
D2,73.42,469.92,D2,73.42 => float D2;
 D#2/Eb2 ,77.78,443.55,Eb2 ,77.78 => float Eb2 ;
E2,82.41,418.65,E2,82.41 => float E2;
F2,87.31,395.16,F2,87.31 => float F2;
 F#2/Gb2 ,92.5,372.98,Gb2 ,92.5 => float Gb2 ;
G2,98,352.04,G2,98 => float G2;
 G#2/Ab2 ,103.83,332.29,Ab2 ,103.83 => float Ab2 ;
A2,110,313.64,A2,110 => float A2;
 A#2/Bb2 ,116.54,296.03,Bb2 ,116.54 => float Bb2 ;
B2,123.47,279.42,B2,123.47 => float B2;
C3,130.81,263.74,C3,130.81 => float C3;
 C#3/Db3 ,138.59,248.93,Db3 ,138.59 => float Db3 ;
D3,146.83,234.96,D3,146.83 => float D3;
 D#3/Eb3 ,155.56,221.77,Eb3 ,155.56 => float Eb3 ;
E3,164.81,209.33,E3,164.81 => float E3;
F3,174.61,197.58,F3,174.61 => float F3;
 F#3/Gb3 ,185,186.49,Gb3 ,185 => float Gb3 ;
G3,196,176.02,G3,196 => float G3;
 G#3/Ab3 ,207.65,166.14,Ab3 ,207.65 => float Ab3 ;
A3,220,156.82,A3,220 => float A3;
 A#3/Bb3 ,233.08,148.02,Bb3 ,233.08 => float Bb3 ;
B3,246.94,139.71,B3,246.94 => float B3;
C4,261.63,131.87,C4,261.63 => float C4;
 C#4/Db4 ,277.18,124.47,Db4 ,277.18 => float Db4 ;
D4,293.66,117.48,D4,293.66 => float D4;
 D#4/Eb4 ,311.13,110.89,Eb4 ,311.13 => float Eb4 ;
E4,329.63,104.66,E4,329.63 => float E4;
F4,349.23,98.79,F4,349.23 => float F4;
 F#4/Gb4 ,369.99,93.24,Gb4 ,369.99 => float Gb4 ;
G4,392,88.01,G4,392 => float G4;
 G#4/Ab4 ,415.3,83.07,Ab4 ,415.3 => float Ab4 ;
A4,440,78.41,A4,440 => float A4;
 A#4/Bb4 ,466.16,74.01,Bb4 ,466.16 => float Bb4 ;
B4,493.88,69.85,B4,493.88 => float B4;
C5,523.25,65.93,C5,523.25 => float C5;
 C#5/Db5 ,554.37,62.23,Db5 ,554.37 => float Db5 ;
D5,587.33,58.74,D5,587.33 => float D5;
 D#5/Eb5 ,622.25,55.44,Eb5 ,622.25 => float Eb5 ;
E5,659.25,52.33,E5,659.25 => float E5;
F5,698.46,49.39,F5,698.46 => float F5;
 F#5/Gb5 ,739.99,46.62,Gb5 ,739.99 => float Gb5 ;
G5,783.99,44.01,G5,783.99 => float G5;
 G#5/Ab5 ,830.61,41.54,Ab5 ,830.61 => float Ab5 ;
A5,880,39.2,A5,880 => float A5;
 A#5/Bb5 ,932.33,37,Bb5 ,932.33 => float Bb5 ;
B5,987.77,34.93,B5,987.77 => float B5;
C6,1046.5,32.97,C6,1046.5 => float C6;
 C#6/Db6 ,1108.73,31.12,Db6 ,1108.73 => float Db6 ;
D6,1174.66,29.37,D6,1174.66 => float D6;
 D#6/Eb6 ,1244.51,27.72,Eb6 ,1244.51 => float Eb6 ;
E6,1318.51,26.17,E6,1318.51 => float E6;
F6,1396.91,24.7,F6,1396.91 => float F6;
 F#6/Gb6 ,1479.98,23.31,Gb6 ,1479.98 => float Gb6 ;
G6,1567.98,22,G6,1567.98 => float G6;
 G#6/Ab6 ,1661.22,20.77,Ab6 ,1661.22 => float Ab6 ;
A6,1760,19.6,A6,1760 => float A6;
 A#6/Bb6 ,1864.66,18.5,Bb6 ,1864.66 => float Bb6 ;
B6,1975.53,17.46,B6,1975.53 => float B6;
C7,2093,16.48,C7,2093 => float C7;
 C#7/Db7 ,2217.46,15.56,Db7 ,2217.46 => float Db7 ;
D7,2349.32,14.69,D7,2349.32 => float D7;
 D#7/Eb7 ,2489.02,13.86,Eb7 ,2489.02 => float Eb7 ;
E7,2637.02,13.08,E7,2637.02 => float E7;
F7,2793.83,12.35,F7,2793.83 => float F7;
 F#7/Gb7 ,2959.96,11.66,Gb7 ,2959.96 => float Gb7 ;
G7,3135.96,11,G7,3135.96 => float G7;
 G#7/Ab7 ,3322.44,10.38,Ab7 ,3322.44 => float Ab7 ;
A7,3520,9.8,A7,3520 => float A7;
 A#7/Bb7 ,3729.31,9.25,Bb7 ,3729.31 => float Bb7 ;
B7,3951.07,8.73,B7,3951.07 => float B7;
C8,4186.01,8.24,C8,4186.01 => float C8;
 C#8/Db8 ,4434.92,7.78,Db8 ,4434.92 => float Db8 ;
D8,4698.63,7.34,D8,4698.63 => float D8;
 D#8/Eb8 ,4978.03,6.93,Eb8 ,4978.03 => float Eb8 ;
E8,5274.04,6.54,E8,5274.04 => float E8;
F8,5587.65,6.17,F8,5587.65 => float F8;
 F#8/Gb8 ,5919.91,5.83,Gb8 ,5919.91 => float Gb8 ;
G8,6271.93,5.5,G8,6271.93 => float G8;
 G#8/Ab8 ,6644.88,5.19,Ab8 ,6644.88 => float Ab8 ;
A8,7040,4.9,A8,7040 => float A8;
 A#8/Bb8 ,7458.62,4.63,Bb8 ,7458.62 => float Bb8 ;
B8,7902.13,4.37,B8,7902.13 => float B8;
